Model,Brand,Regular Price (BDT),Special Price (BDT),Discount (BDT),Processor Brand,Processor Model,Processor Frequency (GHz),RAM (GB),RAM Type,Storage,Display Size (inch),Display Type,Graphics Model,Battery Type,Battery Capacity (WHr),Number of Reviews
 TravelMate TMP214-53,Acer,91180,84900,6280,Intel,Core i7-1165G7,2,8,DDR4,512GB M.2 NVME SSD,14,IPS,Intel Iris Xe Graphics,3-cell Li-ion,48,0
 Vivobook 15 OLED M1505YA,Asus,94600,89000,5600,AMD,Ryzen 5 7530U,2,8,DDR4 ,512GB  PCIe Gen3 x2 M.2 SSD,15,OLED,AMD Radeon Graphics, 3-cell Li-ion,50,0
 Tamarind MX711G,Walton,85514,84500,1014,Intel,Core i7-1165G7,2,8,DDR4,"512GB M.2 2280, PCIe Gen3x4 SSD",14,IPS,Intel UHD Graphics,4 cells Smart Lithium-Ion,49,0
 M1502IA-EJ390W,Asus,86350,81500,4850,AMD,AMD Ryzen 7 4800H ,2,16,DDR4,512GB PCIEG3,15,LED,AMD Radeon Graphics,3-cell,42,0
 ROG Strix G15 G513IE,Asus,154000,144000,10000,AMD,Ryzen 7 4800H,2,8,DDR4,512GB M.2 NVMe PCIe 3.0 SSD,15,LED,Nvidia RTX 3050 Ti,4 Cell Li-ion,56,0
 Modern 14 C12MO,MSI,105790,98000,7790,Intel ,Core i7-1255U,3,1,DDR4 ,512GB  NVMe PCIe Gen3x4 SSD,14,IPS,Intel Iris Xe,3 cell,39,0
 TUF Gaming A15 FA507RC,Asus,154000,144000,10000,AMD,Ryzen 7 6800H,3,8,DDR5,512GB  M.2 NVMe PCIe 3.0 SSD,15,LED,Nvidia RTX 3050 Graphics,4-cell Li-ion,56,0
 911MT,Thunderobot,146228,139000,7228,Intel,Core i5-12450H,3,16,DDR4,512GB M.2 NVMe PCIe 4.0 SSD,15,LED,NVIDIA GeForce RTX 3060, 3-cell Li-ion,41,0
 Latitude 3440,Dell,0,0,0,Intel ,Core i7-1355U,1,8,DDR4 ,512GB NVMe PCIe Gen3x4 SSD,14,LED,Intel Iris Xe Graphics,3-Cell,42,0
 Latitude 5440,Dell,0,0,0,Intel ,Core i5-1335U,3,8,DDR4 ,512GB NVMe PCIe Gen3x4 SSD,14,LED,Intel Iris Xe Graphics,3-Cell,42,0
 Modern 15 B13M,MSI,97790,91500,6290,Intel ,Core i5-1335U,3,16,DDR4 ,512GB NVMe PCIe Gen3x4 SSD,15,IPS,Intel Iris Xe Graphics,3-Cell,39,0
 GF63 THIN 11UCX,MSI,101090,93900,7190,Intel,Core i5-11260H ,2,8,DDR4,512GB  NVMe PCIe Gen3x4 SSD,15,IPS-Level,NVIDIA GeForce RTX 2050,3 cell Polymer,52,0
 TUF Gaming F15 FX507ZC,Asus,148500,139000,9500,Intel,Core i5-12450H,3,8,DDR5,512GB M.2 NVME PCIE 3.0 SSD,15,LED,Nvidia RTX 3050,4 Cell,76,0
 Modern 15 B12M,MSI,100650,91500,9150,Intel ,Core i7-1255U,3,16,DDR4,512GB  NVMe PCIe Gen3x4 SSD,15,IPS-Level,Intel Iris Xe Graphics,3-Cell Integrated,39,0
 Stealth 17Studio A13VI,MSI,0,0,0,Intel ,Core i9-13900H,2,64,DDR5,4TB (2TBx2) NVMe PCIe Gen4x4 SSD,17,IPS,NVIDIA GeForce RTX 4090,4 cell,99,0
 TUF Gaming A17 FA706ICB,Asus,129800,121000,8800,AMD,Ryzen 5 4600H,3,8,DDR4 ,512GB M.2 NVMe PCIe 3.0 SSD,17,LED,Nvidia RTX 3050 Graphics, 3-cell Li-ion,48,0
 TUF Gaming A15 FA507RM,Asus,196390,181900,14490,AMD,Ryzen 7 6800H,3,16,DDR5,512GB  M.2 NVMe PCIe 3.0 SSD,15,LED,Nvidia RTX 3060 Graphics,4-cell Li-ion,90,0
