Model,Brand,Regular Price (BDT),Special Price (BDT),Discount (BDT),Processor Brand,Processor Model,Processor Frequency (GHz),RAM (GB),RAM Type,Storage,Display Size (inch),Display Type,Graphics Model,Battery Type,Battery Capacity (WHr),Number of Reviews
 VivoBook 15X X1503ZA OLED,Asus,106110,98000,8110,Intel,Core i5-12500H,4,8,DDR4,512GB M.2 NVMe PCIe 3.0 SSD PCIe NVMe M.2 SSD,15,OLED ,Intel UHD Graphics,3-cell Li-ion,70,0
 X1503ZA-L1277W,Asus,104500,98990,5510,Intel,Intel Core i5-12500H,4,8,DDR4,512GB NVMe PCIe,15,OLED,Intel Iris Xe Graphics,3-cell,70,0
 Galaxy Book2 Business,Samsung,98900,98000,900,Intel,Core i5-1240P,4,8,DDR4,256GB SSD,14,IPS,Intel Iris Xe Graphics,,51,0
 VivoBook Pro 15 K3500PA,Asus,122610,113500,9110,Intel,Core i7-11370H,3,8,DDR4,512GB M.2 NVMe PCIe G3.0 SSD,15,LED,Intel Iris Xe,3 Cell,63,0
 Aspire 7 A715-51G,Acer,105790,98000,7790,Intel,Core i5-1240P,4,8,DDR4,"512 GB PCIe Gen3, 8 Gb/s, NVMe SSD",15,IPS,NVIDIA GeForce GTX 1650,3-cell Li-ion,50,0
 IdeaPad Gaming 3 15ARH7,Lenovo,150270,139000,11270,AMD,Ryzen 7 7735HS,3,16,DDR5,512GB SSD  M.2 PCIe NVMe PCIe 3.0 x4 SSD,15,IPS ,NVIDIA GeForce RTX 3050,Integrated,60,0
 Vivobook Pro 15 M3500QC,Asus,150150,139500,10650,AMD ,Ryzen 7,4,16,DDR4,512GB NVMe PCIe,15,FHD LED,Nvidia RTX 3050 Graphics,"3 Cell, Li-ion",63,0
 VivoBook 15 K513EQ ,Asus,109590,102000,7590,Intel,Core i5-1135G7,2,8,DDR4 ,512GB M.2 NVMe PCIe 3.0 SSD,15,OLED,NVIDIA GeForce MX350,3 -Cell,42,0
 ZenBook 14 Flip OLED UP5401EA,Asus,142020,135000,7020,Intel,Core i5-1135G7,2,8,LPDDR4X ,512GB M.2 NVMe PCIe 3.0 G4 SSD,14,OLED ,Intel Iris Xe,3-cell Li-ion,63,0
 G5 KF,GIGABYTE,147400,138000,9400,Intel ,Core i5-12500H,4,8,DDR4,512GB SSD M.2 NVMe PCIe Gen4 SSD,15,IPS,NVIDIA GeForce RTX 4060,Li-ion,54,0
 ZenBook Duo 14 UX482EAR,Asus,147890,136500,11390,Intel,Intel Core i7-1195G7,2,16,LPDDR4X ,512GB  M.2 NVMe PCIe 3.0 G3 SSD,14,IPS,Intel Iris Xe,4-cell Li-ion,70,0
 Asus ZenBook 14 OLED UX3402ZA,Asus,140800,132000,8800,Intel,Core i5-1240P,4,16,LPDDR5,512GB PCIe NVMe 3.0 x2 M.2 SSD,14,,Intel Iris Xe Graphics,"2S2P, 4-cell Li-ion",75,0
  TUF GAMING F15 FX506HE,Asus,143000,133500,9500,Intel,Core i5-11400H,2,8,DDR4 ,512GB M.2 NVME PCIE 3.0 SSD,15,IPS,NVIDIA GeForce RTX 3050 Ti,3-cell Li-ion ,48,0
 G5 MF,GIGABYTE,140510,130000,10510,Intel ,Core i5-12500H,4,8,DDR4,512GB SSD M.2 NVMe PCIe Gen4 SSD,15,IPS,NVIDIA GeForce RTX 4050,Li-ion,54,0
 IdeaPad Slim 5i Pro,Lenovo,129700,121000,8700,Intel ,Core i5-11300H,3,1,DDR4 ,512GB M.2 2242 PCIe 3.0×4 NVMe SSD,16,2.5K WQXGA IPS LED Display,Nvidia MX450,Integrated (Fast Charging Enable.),75,0
 ZenBook 14 OLED UM3402YA,Asus,138380,129500,8880,AMD,Ryzen 5 5625U,2,16,LPDDR4x ,512GB PCIe NVMe 3.0 x2 M.2 SSD,14,2.8K OLED WQHD,AMD Radeon ,4-cell lithium-polymer,75,0
 ZenBook 14 UM3402YA,Asus,137500,129000,8500,AMD,Ryzen 7 5825U,2,16,LPDDR4x,512GB PCIe NVMe 3.0 x2 M.2 SSD,14,LED ,AMD Radeon ,4-cell lithium-polymer,75,0
 ZenBook 14X UX5401EA,Asus,130900,119000,11900,Intel,Core i5-1135G7,2,8,LPDDR4X ,512GB  M.2 NVMe PCIe 3.0 G4 SSD,14,OLED,Intel Iris Xe Graphics,3-cell Li-ion,63,0
 VivoBook 15X OLED X1503ZA,Asus,123200,116000,7200,Intel,Core i7-12700H,2,8,DDR4,512GB M.2 NVMe PCIe 3.0 SSD PCIe NVMe M.2 SSD,15,OLED ,Intel Iris Xe Graphics,3-cell Li-ion,70,0
 ZenBook Duo 14 UX482EA,Asus,187710,174000,13710,Intel,Core i7-1165G7,2,16,LPDDR4X ,512GB  M.2 NVMe PCIe 3.0 G3 SSD,14,IPS,Intel Iris Xe,4-cell Li-ion,70,0
 LOQ 15APH8,Lenovo,181500,181500,0,AMD,Ryzen 7 7840HS,3,16,DDR5,512GB M.2 2280 PCIe 3.0x4 NVMe SSD,15,IPS,NVIDIA GeForce RTX 4050,,60,0
 Vivobook Pro 16X OLED M7600QE,Asus,187550,174000,13550,AMD,Ryzen 7 5800H,20,16,DDR4 ,512GB M.2 NVMe PCIe 3.0 SSD,16,OLED ,NVIDIA GeForce RTX 3050 Ti , 6-cell Li-ion,96,0
 TUF Gaming F15 FX507VU4,Asus,187000,174000,13000,Intel,Core i7-13700H,2,8,DDR4,512GB M.2 NVME PCIE 4.0 SSD,15,IPS,Nvidia RTX 4050,4 Cell,90,0
 TUF Gaming A16 Advantage Edition,Asus,181500,169900,11600,AMD,Ryzen 7 7735HS,3,16,DDR5,512GB SSD  PCIe 4.0 NVMe M.2 SSD,16,LED,AMD Radeon RX 7600S,"4S1P, 4-cell Li-ion",90,0
 TUF Gaming A15 FA507XU,Asus,181500,169900,11600,AMD,Ryzen 9 7940HS,5,8,DDR5,512GB M.2 NVMe PCIe 3.0 SSD,15,LED,NVIDIA GeForce RTX 4050,"4S1P, 4-cell Li-ion",90,0
 K3605ZF-MX148W,Asus,178200,167000,11200,Intel,Intel Core i7-12650H,4,16,DDR4,512GB NVMe PCIe,16,OLED,Nvidia RTX 2050 Graphics,3-cell,63,0
 UP3404VA-KN109WS,Asus,170500,159000,11500,Intel,Intel Core i5-1340P,4,16,LPDDR5,512GB NVMe PCIe,14,OLED,Intel Iris X Graphics,4 Cell,75,0
 AORUS 15 9MF,GIGABYTE,170500,160000,10500,Intel ,Core i5-12500H,4,8,DDR5,512GB NVMe PCIe Gen4 SSD,15,IPS,NVIDIA GeForce RTX 4050,Li Polymer,99,0
 ThinkPad P14s Gen 2,Lenovo,158500,158500,0,Intel ,Core i5-1135G7,2,8,DDR4,512GB  M.2 2242 PCIe Gen3 TLC SDD,14,IPS,Integrated Intel UHD Graphics,3 Cell Li-Polymer ,50,0
 ROG Zephyrus G15 GA503RM,Asus,291500,265000,26500,AMD,Ryzen 7 6800HS ,20,16,DDR5 ,1TB PCI-E M.2 NVME PCI-E G4 SSD,15,IPS,NVIDIA GeForce RTX 3060,4-cell Li-ion,90,0
 Asus ROG Zephyrus G14 GA402RJ,Asus,286000,260000,26000,AMD,Ryzen 9 6900HS,4,16,DDR4,1TB NVMe M.2,14,IPS,AMD Radeon RX 6700S,4-cell Li-ion,76,0
 Zenbook S 13 OLED UP5302ZA,Asus,189200,176000,13200,Intel,Core i7-1260P,2,16,LPDDR5,512GB M.2 NVMe PCIe 4.0 Performance SSD,13,OLED,Intel Iris Xe Graphics,"4S1P, 4-cell Li-ion",67,0
 OMEN 16-c0456AX,HP,258500,258500,0,AMD,Ryzen 9 5900H ,3,16,DDR4,1TB PCIe NVMe TLC M.2 SSD,16,IPS,NVIDIA GeForce RTX 3070 ,"6-cell,  Li-ion polymer",83,0
 K3605ZF-MX041W,Asus,159500,150000,9500,Intel,Core i5-12500H,4,16,DDR4,512GB NVMe PCIe,16,OLED,Nvidia RTX 2050 Graphics,3-cell,63,0
 ROG Zephyrus G15 GA503RW ,Asus,252810,235000,17810,AMD,Ryzen 9 6900HS,3,32,DDR5 ,1TB PCI-E M.2 NVME PCI-E G4 SSD,15,IPS,Nvidia RTX 3070 Ti ,4-cell Li-ion,90,0
 ROG Strix G16 G614JI,Asus,263660,245000,18660,Intel,Core i7-13650HX ,2,16,DDR5,1TB PCIEG4,16,IPS,NVIDIA GeForce RTX 4060,4-cell Li-ion ,90,0
 Predator Helios 16 PH16-71-70L4,Acer,233090,219900,13190,Intel,Core i7 13700HX,3,16,DDR5,1TB PCIe NVMe Gen 4 SSD,16,IPS,NVIDIA GeForce RTX 4060,4-cell Li-ion battery,90,0
 ROG Strix G15 G513RM,Asus,229480,212000,17480,AMD,Ryzen 7 6800H,3,16,DDR5 ,512GB M.2 NVME PCIE 4.0 SSD,15,IPS,NVIDIA GeForce RTX 3060,4-cell Li-ion,90,0
 ROG Strix G16 G614JV,Asus,252810,235000,17810,Intel,Core i7-13650HX ,2,16,DDR5,1TB PCIEG4,16,IPS,NVIDIA GeForce RTX 4060,4-cell Li-ion ,90,0
 ROG Strix G15 G713RM,Asus,240330,222000,18330,AMD,Ryzen 7 6800H,3,16,DDR5 ,512GB M.2 NVME PCIE 4.0 SSD,17,IPS,NVIDIA GeForce RTX 3060,4-cell Li-ion,90,0
 Legion 5 Pro 16ARH7H,Lenovo,217800,217800,0,AMD,Ryzen 7 6800H,3,16,DDR5,1TB SSD M.2 2280 PCIe 4.0x4 NVMe,16,IPS,NVIDIA GeForce RTX 3070,,80,0
 Zero,Thunderobot,213400,199000,14400,Intel,Core i9-12900H,2,16,DDR4,512GB M.2 NVMe PCIe 4.0 SSD,16,LED,NVIDIA GeForce RTX 3060, 3-cell Li-Polymer,63,0
 ZenBook 14X OLED UX5401EA,Asus,166590,157000,9590,Intel,Core i7-1165G7,2,16,LPDDR4X,512GB M.2 NVMe PCIe 3.0 G4 SSD,14,OLED ,Intel Iris Xe , 3-cell Li-ion,63,0
 ROG Strix G16 G614JU,Asus,214500,199900,14600,Intel,Core i7-13650HX ,2,16,DDR5,1TB PCIEG4,16,IPS,NVIDIA GeForce RTX 4050,4-cell Li-ion ,90,0
 ZenBook S 13 OLED UX5304VA,Asus,205610,189900,15710,Intel,Core i7 1355U,5,16,LPDDR5,1TB M.2 NVMe PCIe 4.0 Performance SSD,13,OLED,Intel Iris Xe Graphics,"2S2P, 4-cell Li-ion",63,0
 ROG STRIX G15 G513IM,Asus,205700,187000,18700,AMD,Ryzen 7 4800H ,2,16,DDR4 ,512GB M.2 NVMe PCIe 3.0 SSD,15,IPS,NVIDIA GeForce RTX 3060, 4-cell Li-ion,90,0
 ENVY 15-ep1890TX,HP,200510,185000,15510,,,,,, ,,,,,,0
 UX5304VA-NQ142WS,Asus,203500,189900,13600,Intel,Intel Core i7-1355U,1,16,LPDDR5,1TB NVMe PCIe,13,OLED,Intel Iris X Graphics,4 Cell,63,0
 TUF Gaming A15 FA507XV,Asus,192500,179900,12600,AMD,Ryzen 9 7940HS,5,8,DDR5,512GB M.2 NVMe PCIe 3.0 SSD,15,LED,NVIDIA GeForce RTX 4060,"4S1P, 4-cell Li-ion",90,0
 Vivobook S 16 Flip OLED TN3604YA,Asus,151250,142900,8350,AMD,Ryzen 7 7730U,4,16,DDR4,512GB  M.2 NVMe PCIe 3.0 SSD,16,,AMD Radeon Vega 7 Graphics,3-cell Li-ion,50,0
  X1504VA-NJ263W,Asus,121000,114000,7000,Intel, Intel Core i7-1355U,1,16,DDR4,512GB NVMe PCIe,15,LED ,Intel Iris X Graphics,3 Cell,42,0
 G5 KE,GIGABYTE,157870,146000,11870,Intel ,Core i5-12500H,4,8,DDR4 ,512GB SSD M.2 NVMe PCIe Gen4 SSD,15,IPS,NVIDIA GeForce RTX 3060,Li-ion,54,0
 MacBook Pro 16-Inch Space Gray 2021,Apple,0,0,0,,,,,, ,,,,,,0
 Vivobook Pro 15 OLED M3500QC,Asus,155650,144500,11150,AMD,Ryzen 7 5800H,4,16,DDR4,512GB M.2 NVMe PCIe 3.0 SSD,15,FHD OLED,Nvidia RTX 3050 Graphics,"3 Cell, Li-ion",63,0
 TM420UA-EC046,Asus,103400,97000,6400,AMD, AMD Ryzen 7 5700U,1,8,DDR4,512GB M.2 NVMe PCIe 3.0 SSD,14,IPS,AMD Radeon Graphics,3-cell,42,0
 Vector GP66 12UE,MSI,0,0,0,Intel ,Core i7-12700H,3,16,DDR4,1TB  NVMe PCIe Gen4 SSD,15,IPS,NVIDIA GeForce RTX 3060,4-Cell integrated,65,0
 Vector GP66 12UEO,MSI,0,0,0,Intel ,Core i7-12700H,3,16,DDR5,1TB  NVMe PCIe Gen4 SSD,15,IPS,NVIDIA GeForce RTX 3060,4-Cell,65,0
 Zenbook Pro 14 Duo OLED UX8402ZE-M3050W ,Asus,291870,269990,21880,Intel,i7-12700H,2,16,LPDDR5,512GB M.2 NVMe PCIe 4.0 Performance SSD,14,OLED,Intel Iris Xe Graphics,"4S1P, 4-cell Li-ion",76,0
 Surface Pro X,Microsoft,0,0,0,,,,,, ,,,,,,0
 Stealth 16 Mercedes-AMG A13VF,MSI,376200,349900,26300,Intel ,Core i9-13900H,2,32,DDR5,1TB NVMe PCIe Gen4x4 SSD,16,OLED,NVIDIA GeForce RTX 4060,4-Cell,99,0
 IdeaPad Flex 5i,Lenovo,160580,149000,11580,Intel,Core i7-1255U,4,16,DDR4,512GB  M.2 2242 PCIe 4.0x4 NVMe,14,LED,Intel Iris Xe Graphics,,52,0
 Vivobook S 16X OLED M5602RA,Asus,160580,149000,11580,AMD,Ryzen 7 6800H,3,16,DDR5,512GB  M.2 NVMe PCIe 3.0 SSD,16,,AMD Radeon Graphics,3-cell Li-ion,70,0
 GF63 Thin 11UC,MSI,117180,108500,8680,Intel,Core i5-11400H,2,8,DDR4,512GB  NVMe PCIe Gen3x4 SSD,15,IPS-Level,NVIDIA GeForce RTX 3050 Max-Q,3 cell Polymer,51,0
 Sword 17 A12VE,MSI,246300,228000,18300,Intel ,Core i7-12650H,2,16,DDR5,1TB NVMe PCIe Gen4x4 SSD,17,IPS,NVIDIA GeForce RTX 4050,3-Cell,53,0
 Modern 15 A5M,MSI,86350,81000,5350,AMD,Ryzen 7 5700U,1,8,DDR4 ,512GB NVMe SSD,15,IPS ,AMD Radeon Graphics,3-Cell,53,0
 Modern 14 C11M,MSI,59460,55000,4460,Intel ,Core i3-1115G4,3,8,DDR4,512GB NVMe PCIe Gen3x4 SSD,14,LED,Intel Iris Xe Graphics,3 cell,39,0
 IdeaPad 3,Lenovo,86480,79900,6580,AMD,Ryzen 7 5700U,1,8,DDR4,512GB SSD NVMe PCIe,15,LED,AMD Radeon Graphics,3 Cell Li-Polymer,38,0
 MateBook B3-420,HUAWEI,81420,81420,0,Intel,Core i5-1135G7,2,8,DDR4,512GB NVMe PCle SSD,14,IPS,Intel Iris Xe Graphics,Lithium polymer,56,0
 Aspire 3 A315-59-50J9 ,Acer,80070,74000,6070,Intel,Core i5 1235U,4,8,DDR4,512 GB SSD,15,IPS,Intel Iris Xe Graphics,3-cell Li-ion,40,0
 Aspire 3 A315-59-5031,Acer,80070,74000,6070,Intel,Core i5 1235U,4,8,DDR4,512 GB SSD,15,IPS,Intel Iris Xe Graphics,3-cell Li-ion,40,0
 IdeaPad Slim 3i 15ITL6,Lenovo,78650,73500,5150,Intel,Core i5-1155G7,2,16,DDR4,512GB SSD,15,TN,Iris Xe Graphics,,45,0
 15s-eq3619AU,HP,79210,73200,6010,AMD,Ryzen 5 5625U,2,8,DDR4,512 GB PCIe NVMe M.2 SSD,15,IPS LED,AMD Radeon Graphics,3 Cell  Li-ion Battery,41,0
 Latitude 3420,Dell,79000,76000,3000,Intel , Core i5-1145G7,2,8,DDR4 ,512GB  M.2 PCIe NVMe SSD,14,,Intel Iris Xe Graphics,3 Cell ExpressCharge Capable Battery,42,0
 Aspire 3 A315-59-57VA,Acer,80070,74000,6070,Intel,Core i5 1235U,4,8,DDR4,512 GB SSD,15,IPS,Intel Iris Xe Graphics,3-cell Li-ion,40,0
